time,fluorescence,n,TRAIL ng/ml,1-fluorescence
1.874924352,0.050948375,0,10,0.949051625
2.177514524,0.064156094,0,10,0.935843906
2.621943839,0.066172749,0,10,0.933827251
2.943445897,0.064403968,0,10,0.935596032
3.35005144,0.083263831,0,10,0.916736169
3.558082183,0.090822465,0,10,0.909177535
3.756656984,0.098378038,0,10,0.901621962
3.97414367,0.102194077,0,10,0.897805923
4.380749213,0.104198492,0,10,0.895801508
4.579324014,0.113626894,0,10,0.886373106
4.787354757,0.113694218,0,10,0.886305782
4.9291939,0.11374012,0,10,0.88625988
5.108856814,0.125035229,0,10,0.874964771
5.354711329,0.136351758,0,10,0.863648242
5.581653958,0.142043685,0,10,0.857956315
5.714037158,0.168306113,0,10,0.831693887
5.855876301,0.155242223,0,10,0.844757777
6.054451101,0.155306487,0,10,0.844693513
6.205746187,0.166592415,0,10,0.833407585
6.461056645,0.166675039,0,10,0.833324961
6.621807674,0.174218372,0,10,0.825781628
6.810926531,0.183643713,0,10,0.816356287
6.97167756,0.185568564,0,10,0.814431436
7.17025236,0.193124138,0,10,0.806875862
7.378283103,0.196937117,0,10,0.803062883
7.643049504,0.200768457,0,10,0.799231543
7.841624304,0.197087065,0,10,0.802912935
8.021287219,0.206509346,0,10,0.793490654
8.134758533,0.191563448,0,10,0.808436552
8.172582305,0.217795274,0,10,0.782204726
8.219862019,0.324561744,0,10,0.675438256
8.248229847,0.431322093,0,10,0.568677907
8.267141733,0.523096762,0,10,0.476903238
8.342789276,0.596161516,0,10,0.403838484
8.380613048,0.61677486,0,10,0.38322514
8.418436819,0.659862133,0,10,0.340137867
8.503540305,0.721692983,0,10,0.278307017
8.512996248,0.667384045,0,10,0.332615955
8.645379448,0.807888952,0,10,0.192111048
8.645379448,0.747958471,0,10,0.252041529
8.739938877,0.830393484,0,10,0.169606516
8.806130477,0.815432285,0,10,0.184567715
8.919601791,0.804232042,0,10,0.195767958
8.976337449,0.742447095,0,10,0.257552905
9.042529049,0.729358723,0,10,0.270641277
9.089808763,0.772449057,0,10,0.227550943
9.118176592,0.824897408,0,10,0.175102592
9.21273602,0.800581252,0,10,0.199418748
9.21273602,0.853020423,0,10,0.146979577
9.335663278,0.802493862,0,10,0.197506138
9.354575163,0.824973913,0,10,0.175026087
9.439678649,0.907405865,0,10,0.092594135
9.496414306,0.931770984,0,10,0.068229016
9.543694021,0.884965597,0,10,0.115034403
9.657165335,0.890620801,0,10,0.109379199
9.77063665,0.864437938,0,10,0.135562062
9.827372307,0.841982369,0,10,0.158017631
9.90301985,0.883209056,0,10,0.116790944
9.988123336,0.875745287,0,10,0.124254713
2.848886468,0.049390746,1,10,0.950609254
3.302771726,0.066393082,1,10,0.933606918
3.539170298,0.068342414,1,10,0.931657586
3.803936698,0.074046581,1,10,0.925953419
4.030879327,0.089102646,1,10,0.910897354
4.513132413,0.094877197,1,10,0.905122803
4.853546357,0.124952604,1,10,0.875047396
5.052121157,0.102542937,1,10,0.897457063
5.468182643,0.134515653,1,10,0.865484347
5.761316872,0.164575759,1,10,0.835424241
6.177378359,0.170328889,1,10,0.829671111
6.34758533,0.155401352,1,10,0.844598648
6.697455217,0.172370026,1,10,0.827629974
6.867662188,0.322251311,1,10,0.677748689
6.886574074,0.440245565,1,10,0.559754435
6.97167756,0.537660138,1,10,0.462339862
7.018957274,0.562022196,1,10,0.437977804
7.066236989,0.608858185,1,10,0.391141815
7.10406076,0.644454149,1,10,0.355545851
7.151340474,0.657579242,1,10,0.342420758
7.179708303,0.680062353,1,10,0.319937647
7.264811789,0.72878341,1,10,0.27121659
7.312091503,0.760636779,1,10,0.239363221
7.435018761,0.835589662,1,10,0.164410338
7.576857904,0.828144255,1,10,0.171855745
7.765976761,0.835696768,1,10,0.164303232
7.86053619,0.824490405,1,10,0.175509595
8.087478819,0.850783434,1,10,0.149216566
8.314421448,0.856475361,1,10,0.143524639
8.456260591,0.854648436,1,10,0.145351564
8.579187848,0.858433874,1,10,0.141566126
8.626467562,0.807882831,1,10,0.192117169
8.806130477,0.807940975,1,10,0.192059025
9.004705277,0.76118455,1,10,0.23881545
9.070896877,0.729367904,1,10,0.270632096
9.174912249,0.826788597,1,10,0.173211403
2.678679496,0.0586998,2,10,0.9413002
3.028549383,0.068177164,2,10,0.931822836
3.293315783,0.064517194,2,10,0.935482806
3.491890583,0.066454286,2,10,0.933545714
3.803936698,0.081537892,2,10,0.918462108
4.002511498,0.068492363,2,10,0.931507637
4.361837328,0.074227132,2,10,0.925772868
4.560412128,0.074291396,2,10,0.925708604
4.768442871,0.08934134,2,10,0.91065866
4.976473614,0.089408663,2,10,0.910591337
5.212872186,0.104467788,2,10,0.895532212
5.524918301,0.106441601,2,10,0.893558399
5.591109901,0.142046745,2,10,0.857953255
5.742404987,0.168315293,2,10,0.831684707
5.836964415,0.14961762,2,10,0.85038238
5.912611958,0.114058379,2,10,0.885941621
6.035539216,0.119716643,2,10,0.880283357
6.205746187,0.114153244,2,10,0.885846756
6.224658073,0.149743087,2,10,0.850256913
6.290849673,0.226550437,2,10,0.773449563
6.300305616,0.325813356,2,10,0.674186644
6.357041273,0.395126335,2,10,0.604873665
6.423232873,0.466315202,2,10,0.533684798
6.432688816,0.503774812,2,10,0.496225188
6.461056645,0.559968819,2,10,0.440031181
6.565072016,0.599331858,2,10,0.400668142
6.583983902,0.638667357,2,10,0.361332643
6.612351731,0.672387433,2,10,0.327612567
6.678543331,0.689264301,2,10,0.310735699
6.744734931,0.670557447,2,10,0.329442553
6.792014645,0.693046679,2,10,0.306953321
6.867662188,0.736146193,2,10,0.263853807
6.877118131,0.68558291,2,10,0.31441709
6.952765674,0.728682424,2,10,0.271317576
7.018957274,0.721212536,2,10,0.278787464
7.066236989,0.698753906,2,10,0.301246094
7.141884532,0.706269698,2,10,0.293730302
7.226988017,0.693187447,2,10,0.306812553
7.349915275,0.711955504,2,10,0.288044496
7.444474703,0.728841554,2,10,0.271158446
7.539034132,0.755091741,2,10,0.244908259
7.680873275,0.771993091,2,10,0.228006909
7.765976761,0.768274977,2,10,0.231725023
7.869992133,0.785164087,2,10,0.214835913
7.92672779,0.802037896,2,10,0.197962104
7.964551561,0.779576206,2,10,0.220423794
8.002375333,0.740259069,2,10,0.259740931
8.068566933,0.704696767,2,10,0.295303233
8.172582305,0.736568497,2,10,0.263431503
8.238773905,0.762809504,2,10,0.237190496
8.314421448,0.804036191,2,10,0.195963809
8.446804648,0.834044273,2,10,0.165955727
8.569731905,0.845321021,2,10,0.154678979
8.702115105,0.835999726,2,10,0.164000274
8.806130477,0.817305112,2,10,0.182694888
8.910145848,0.802356154,2,10,0.197643846
8.985793391,0.748068637,2,10,0.251931363
9.089808763,0.781813195,2,10,0.218186805
9.14654442,0.826779416,2,10,0.173220584
2.082955096,0.043524389,3,10,0.956475611
2.376089325,0.043619255,3,10,0.956380745
2.697591382,0.056833093,3,10,0.943166907
2.943445897,0.058785485,3,10,0.941214515
3.160932583,0.055110214,3,10,0.944889786
3.397331155,0.070169339,3,10,0.929830661
3.671553498,0.081495049,3,10,0.918504951
3.870128298,0.07594083,3,10,0.92405917
4.097070927,0.081632757,3,10,0.918367243
4.342925442,0.094822114,3,10,0.905177886
4.569868071,0.106132524,3,10,0.893867476
4.702251271,0.154868882,3,10,0.845131118
4.815722585,0.347806838,3,10,0.652193162
4.853546357,0.424605007,3,10,0.575394993
4.910282014,0.467698401,3,10,0.532301599
4.938649843,0.51452827,3,10,0.48547173
4.948105786,0.555733535,3,10,0.444266465
5.023753328,0.572613464,3,10,0.427386536
5.080488986,0.602597066,3,10,0.397402934
5.099400871,0.632568427,3,10,0.367431573
5.1939603,0.636344683,3,10,0.363655317
5.297975672,0.645742483,3,10,0.354257517
5.3925351,0.68697529,3,10,0.31302471
5.553286129,0.728229518,3,10,0.271770482
5.714037158,0.743264162,3,10,0.256735838
5.81805253,0.758280444,3,10,0.241719556
5.988259501,0.77144532,3,10,0.22855468
6.111186759,0.777103584,3,10,0.222896416
6.167922416,0.760266498,3,10,0.239733502
6.243569959,0.741562704,3,10,0.258437296
6.338129388,0.764067236,3,10,0.235932764
6.442144759,0.784702001,3,10,0.215297999
6.574527959,0.818455738,3,10,0.181544262
6.735278988,0.812889279,3,10,0.187110721
6.858206245,0.805437751,3,10,0.194562249
6.97167756,0.796110336,3,10,0.203889664
7.113516703,0.788664928,3,10,0.211335072
7.283723675,0.798084149,3,10,0.201915851
7.378283103,0.822461508,3,10,0.177538492
7.501210361,0.846848048,3,10,0.153151952
7.624137618,0.835650866,3,10,0.164349134
7.784888647,0.841321371,3,10,0.158678629
7.86053619,0.830108887,3,10,0.169891113
7.99291939,0.86011697,3,10,0.13988303
8.12530259,0.850795675,3,10,0.149204325
8.333333333,0.869591274,3,10,0.130408726
8.494084362,0.86027916,3,10,0.13972084
8.730482934,0.847245871,3,10,0.152754129
8.985793391,0.860438289,3,10,0.139561711
9.127632534,0.847374399,3,10,0.152625601
9.222191963,0.845532173,3,10,0.154467827
2.88671024,0.051275814,4,10,0.948724186
3.293315783,0.068262849,4,10,0.931737151
3.463522755,0.079554898,4,10,0.920445102
3.709377269,0.087125772,4,10,0.912874228
3.955231784,0.10031513,4,10,0.89968487
4.10652687,0.113473885,4,10,0.886526115
4.144350641,0.171543779,4,10,0.828456221
4.229454127,0.39069214,4,10,0.60930786
4.257821956,0.443140491,4,10,0.556859509
4.314557613,0.514326298,4,10,0.485673702
4.380749213,0.5742782,4,10,0.4257218
4.409117042,0.607998276,4,10,0.392001724
4.446940813,0.632357274,4,10,0.367642726
4.494220528,0.647355195,4,10,0.352644805
4.550956185,0.694194244,4,10,0.305805756
4.654971557,0.694227906,4,10,0.305772094
4.711707214,0.727957163,4,10,0.272042837
4.768442871,0.744830972,4,10,0.255169028
4.872458243,0.744864633,4,10,0.255135367
5.052121157,0.746795604,4,10,0.253204396
5.137224643,0.728094871,4,10,0.271905129
5.222328129,0.743105032,4,10,0.256894968
5.250695957,0.782443591,4,10,0.217556409
5.401991043,0.765637106,4,10,0.234362894
5.496550472,0.795632948,4,10,0.204367052
5.581653958,0.827498558,4,10,0.172501442
5.676213387,0.851875917,4,10,0.148124083
5.742404987,0.879989751,4,10,0.120010249
5.808596587,0.848173104,4,10,0.151826896
5.836964415,0.8219627,4,10,0.1780373
5.865332244,0.808862088,4,10,0.191137912
5.978803558,0.799534672,4,10,0.200465328
6.092274873,0.816426842,4,10,0.183573158
6.177378359,0.823945694,4,10,0.176054306
6.338129388,0.794032476,4,10,0.205967524
6.527248245,0.820313265,4,10,0.179686735
6.754190874,0.812895399,4,10,0.187104601
6.943309731,0.801719638,4,10,0.198280362
7.085148874,0.792401403,4,10,0.207598597
7.312091503,0.805584639,4,10,0.194415361
7.510666304,0.826250006,4,10,0.173749994
7.690329218,0.826308149,4,10,0.173691851
7.898359961,0.837612438,4,10,0.162387562
8.106390704,0.850789555,4,10,0.149210445
8.399524933,0.85088442,4,10,0.14911558
8.654835391,0.852839872,4,10,0.147160128
9.206313774,0.8868185,4,10,0.1131815